LATITUDE,LONGITUDE,EQ_MAGNITUDE,EQ_DEPTH,CAUSE,TS_INTENSITY
-26.535,-70.563,7.7,15.0,0,0.2
40.142,24.766,7.0,2.0,0,2.0
38.222,22.934,6.7,33.0,0,3.0
42.096,19.209,6.9,10.0,0,1.0
40.739,23.229,6.4,3.0,0,2.0
38.19,142.03,7.7,44.0,0,0.5
44.244,148.862,7.6,33.0,0,0.0
44.932,148.439,7.5,33.0,0,0.0
44.209,148.971,6.8,46.0,0,-1.5
-9.965,160.731,8.1,33.0,0,-1.5
-16.695999999999998,-172.095,7.6,33.0,0,-2.0
-6.59,155.054,7.9,49.0,0,1.0
-12.27,-77.79,8.1,13.0,0,1.0
34.6,138.7,6.7,2.0,0,-2.5
-32.5,-71.5,6.7,14.0,0,-1.0
43.2,145.8,7.7,48.0,0,1.0
50.5,156.6,7.2,27.0,0,0.5
33.3,140.7,7.4,66.0,0,-1.0
56.82,-135.685,7.6,25.0,1,-2.0
33.3,140.8,7.4,56.0,0,0.5
22.5,122.3,7.5,33.0,0,-2.0
46.5,141.2,7.1,9.0,0,1.0
-4.9,153.2,7.9,48.0,0,1.5
-32.5,-71.2,7.8,58.0,0,0.0
20.6,122.0,5.3,33.0,0,0.5
15.78,121.71,7.3,40.0,0,1.0
57.7,163.6,7.7,51.0,0,3.0
43.6,147.9,8.2,30.0,0,2.0
15.6,-92.6,7.0,138.0,0,1.0
1.4,126.2,7.6,25.0,0,1.0
39.4,143.1,7.2,44.0,0,0.0
41.5,142.7,7.5,33.0,0,-0.5
-11.893,166.445,7.8,83.0,0,1.0
-4.449,152.868,7.4,35.0,0,0.0
44.4,34.5,6.8,17.0,0,2.0
44.75,35.0,5.6,18.0,0,3.0
-9.593,-79.587,7.5,10.0,0,1.9
0.7290000000000001,119.931,7.9,24.0,0,1.8
19.055,-104.205,8.0,33.0,0,2.5
-8.452,125.049,6.9,13.0,1,1.5
-1.258,127.98,6.8,17.0,0,1.5
-14.96,-173.085,7.7,25.0,0,-2.0
19.451,-155.033,7.7,2.0,1,3.0
12.54,125.993,7.6,50.0,0,-1.5
-5.5,153.9,7.9,47.0,0,1.0
-4.907,145.471,7.3,8.0,1,0.5
13.525,121.067,7.1,32.0,0,2.1
40.462,139.102,7.8,24.0,0,2.0
0.2,119.8,7.8,23.0,0,2.5
-0.8909999999999999,136.952,8.2,33.0,0,1.8
-10.477,112.835,7.8,18.0,0,2.5
42.851000000000006,139.197,7.7,17.0,0,3.1
11.727,-87.38600000000001,7.7,40.0,0,2.8
1.598,-79.358,7.7,24.0,0,2.5
-11.085,118.464,8.0,33.0,0,3.0
-3.1,118.9,6.9,13.0,0,2.0
6.292000000000001,124.09,8.0,33.0,0,2.5
-8.48,121.896,7.8,28.0,0,2.7
